Fragment_length	Missing_sites	GCGC-GCGC	Sum
1142	0	330	330
1143	0	277	277
1144	0	249	249
1145	0	285	285
1146	0	309	309
1147	0	266	266
1148	0	245	245
1149	0	246	246
1150	0	292	292
1151	0	322	322
1152	0	268	268
1153	0	242	242
1154	0	292	292
1155	0	273	273
1156	0	255	255
1157	0	266	266
1158	0	257	257
1159	0	260	260
1160	0	262	262
1161	0	264	264
1162	0	268	268
1163	0	265	265
1164	0	288	288
1165	0	272	272
1166	0	294	294
1167	0	289	289
1168	0	290	290
1169	0	285	285
1170	0	273	273
1171	0	281	281
1172	0	273	273
1173	0	256	256
1174	0	282	282
1175	0	268	268
1176	0	275	275
1177	0	266	266
1178	0	276	276
1179	0	291	291
1180	0	290	290
1181	0	294	294
1182	0	278	278
1183	0	269	269
1184	0	284	284
1185	0	264	264
1186	0	284	284
1187	0	299	299
1188	0	270	270
1189	0	257	257
1190	0	280	280
1191	0	255	255
1192	0	294	294
1193	0	260	260
1194	0	315	315
1195	0	265	265
1196	0	255	255
1197	0	304	304
1198	0	273	273
1199	0	270	270
1200	0	276	276
1201	0	285	285
1202	0	301	301
1203	0	253	253
1204	0	249	249
1205	0	263	263
1206	0	266	266
1207	0	274	274
1208	0	256	256
1209	0	241	241
1210	0	254	254
1211	0	279	279
1212	0	261	261
1213	0	260	260
1214	0	279	279
1215	0	279	279
1216	0	248	248
1217	0	276	276
1218	0	259	259
1219	0	270	270
1220	0	246	246
1221	0	261	261
1222	0	262	262
1223	0	303	303
1224	0	261	261
1225	0	261	261
1226	0	263	263
1227	0	274	274
1228	0	249	249
1229	0	250	250
1230	0	242	242
1231	0	257	257
1232	0	262	262
1233	0	257	257
1234	0	256	256
1235	0	286	286
1236	0	245	245
1237	0	254	254
1238	0	260	260
1239	0	247	247
1240	0	253	253
1241	0	258	258
1242	0	277	277
1243	0	273	273
1244	0	269	269
1245	0	256	256
1246	0	267	267
1247	0	257	257
1248	0	244	244
1249	0	292	292
1250	0	245	245
1251	0	268	268
1252	0	232	232
1253	0	254	254
1254	0	243	243
1255	0	225	225
1256	0	224	224
1257	0	246	246
1258	0	239	239
1259	0	264	264
1260	0	269	269
1261	0	237	237
1262	0	241	241
1263	0	228	228
1264	0	231	231
1265	0	271	271
1266	0	257	257
1267	0	222	222
1268	0	267	267
1269	0	246	246
1270	0	246	246
1271	0	255	255
1272	0	261	261
1273	0	242	242
1274	0	244	244
1275	0	294	294
1276	0	238	238
1277	0	264	264
1278	0	228	228
1279	0	230	230
1280	0	257	257
1281	0	252	252
1282	0	249	249
1283	0	249	249
1284	0	268	268
1285	0	247	247
1286	0	234	234
1287	0	256	256
1288	0	263	263
1289	0	258	258
1290	0	259	259
1291	0	259	259
1292	0	243	243
1293	0	230	230
1294	0	229	229
1295	0	285	285
1296	0	250	250
1297	0	253	253
1298	0	236	236
1299	0	228	228
1300	0	275	275
1301	0	245	245
1302	0	244	244
1303	0	226	226
1304	0	269	269
1305	1	258	259
1306	0	251	251
1307	0	254	254
1308	0	234	234
1309	0	242	242
1310	0	242	242
1311	0	255	255
1312	0	236	236
1313	0	224	224
1314	0	252	252
1315	0	225	225
1316	0	243	243
1317	0	248	248
1318	0	266	266
1319	0	246	246
1320	0	214	214
1321	0	224	224
1322	0	252	252
1323	0	246	246
1324	0	220	220
1325	0	236	236
1326	0	212	212
1327	0	241	241
1328	0	244	244
1329	0	257	257
1330	0	238	238
1331	0	233	233
1332	0	262	262
1333	0	229	229
1334	0	223	223
1335	0	227	227
1336	0	245	245
1337	0	230	230
1338	0	232	232
1339	0	245	245
1340	0	229	229
1341	0	251	251
1342	0	241	241
1343	0	242	242
1344	0	242	242
1345	0	254	254
1346	0	250	250
1347	0	228	228
1348	0	228	228
1349	0	252	252
1350	0	237	237
1351	0	239	239
1352	0	246	246
1353	0	240	240
1354	0	241	241
1355	0	224	224
1356	0	244	244
1357	0	249	249
1358	0	236	236
1359	0	224	224
1360	0	226	226
1361	0	239	239
1362	0	234	234
1363	0	248	248
1364	0	242	242
1365	0	263	263
1366	0	253	253
1367	0	242	242
1368	0	226	226
1369	0	223	223
1370	0	224	224
1371	0	236	236
1372	0	241	241
1373	0	229	229
1374	0	228	228
1375	0	223	223
1376	0	221	221
1377	0	254	254
1378	0	224	224
1379	0	240	240
1380	0	260	260
1381	0	241	241
1382	0	212	212
1383	0	232	232
1384	0	228	228
1385	0	203	203
1386	0	235	235
1387	0	234	234
1388	0	206	206
1389	0	239	239
1390	0	226	226
1391	0	234	234
1392	0	235	235
1393	0	236	236
1394	0	245	245
1395	0	220	220
1396	0	230	230
1397	0	227	227
1398	0	209	209
1399	0	236	236
1400	0	230	230
1401	0	264	264
1402	0	205	205
1403	0	237	237
1404	0	226	226
1405	0	239	239
1406	0	252	252
1407	0	246	246
1408	0	238	238
1409	0	219	219
1410	0	227	227
1411	0	227	227
1412	0	210	210
1413	0	273	273
1414	0	236	236
1415	0	226	226
1416	0	214	214
1417	0	215	215
1418	0	200	200
1419	0	250	250
1420	0	230	230
1421	0	270	270
1422	0	266	266
1423	0	383	383
1424	0	237	237
1425	0	222	222
1426	0	234	234
1427	0	223	223
1428	0	247	247
1429	0	232	232
1430	0	244	244
1431	0	254	254
1432	0	226	226
1433	0	234	234
1434	0	228	228
1435	0	204	204
1436	0	212	212
1437	0	225	225
1438	0	219	219
1439	0	230	230
1440	0	240	240
1441	0	253	253
1442	0	215	215
1443	0	191	191
1444	0	237	237
1445	0	224	224
1446	0	233	233
1447	0	196	196
1448	0	228	228
1449	0	238	238
1450	0	221	221
1451	0	238	238
1452	0	256	256
1453	0	231	231
1454	0	235	235
1455	0	236	236
1456	0	213	213
1457	0	245	245
1458	0	199	199
1459	0	223	223
1460	0	219	219
1461	0	224	224
1462	0	231	231
1463	0	211	211
1464	0	206	206
1465	0	201	201
1466	0	209	209
1467	0	223	223
1468	0	240	240
1469	0	212	212
1470	0	198	198
1471	0	201	201
1472	0	229	229
1473	0	197	197
1474	0	201	201
1475	0	215	215
1476	0	227	227
1477	0	213	213
1478	0	215	215
1479	0	216	216
1480	0	216	216
1481	0	211	211
1482	0	233	233
1483	0	210	210
1484	0	209	209
1485	0	204	204
1486	0	218	218
1487	0	214	214
1488	0	214	214
1489	0	225	225
1490	0	248	248
1491	0	203	203
1492	0	236	236
1493	0	223	223
1494	0	201	201
1495	0	207	207
1496	0	251	251
1497	0	229	229
1498	0	229	229
1499	0	211	211
1500	0	219	219
1501	0	203	203
1502	0	215	215
1503	0	205	205
1504	0	226	226
1505	0	236	236
1506	0	214	214
1507	0	224	224
1508	0	196	196
1509	0	221	221
1510	0	164	164
1511	0	174	174
1512	0	190	190
1513	0	218	218
1514	0	194	194
1515	0	223	223
1516	0	213	213
1517	0	215	215
1518	0	230	230
1519	0	193	193
1520	0	192	192
1521	0	213	213
1522	0	204	204
1523	0	214	214
1524	0	218	218
1525	0	206	206
1526	0	193	193
1527	0	217	217
1528	0	228	228
1529	0	217	217
1530	0	210	210
1531	0	234	234
1532	0	214	214
1533	0	232	232
1534	0	193	193
1535	0	221	221
1536	0	202	202
1537	0	192	192
1538	0	211	211
1539	0	227	227
1540	0	198	198
1541	0	224	224
1542	0	200	200
1543	0	233	233
1544	0	233	233
1545	0	216	216
1546	0	234	234
1547	0	206	206
