Fragment_length	Missing_sites	CCGG-CCGG	Sum
1174	0	395	395
1175	0	392	392
1176	0	416	416
1177	0	377	377
1178	0	384	384
1179	0	374	374
1180	0	372	372
1181	0	439	439
1182	0	392	392
1183	0	360	360
1184	0	434	434
1185	0	397	397
1186	0	369	369
1187	0	386	386
1188	0	397	397
1189	0	361	361
1190	0	404	404
1191	0	417	417
1192	0	382	382
1193	0	369	369
1194	0	374	374
1195	0	380	380
1196	0	350	350
1197	0	353	353
1198	0	373	373
1199	0	381	381
1200	0	388	388
1201	0	403	403
1202	0	356	356
1203	0	387	387
1204	0	391	391
1205	0	383	383
1206	0	397	397
1207	0	358	358
1208	0	382	382
1209	0	375	375
1210	0	401	401
1211	0	373	373
1212	0	393	393
1213	0	400	400
1214	0	356	356
1215	0	445	445
1216	0	378	378
1217	0	339	339
1218	0	371	371
1219	0	372	372
1220	0	382	382
1221	0	341	341
1222	0	388	388
1223	0	392	392
1224	0	377	377
1225	0	374	374
1226	0	362	362
1227	0	354	354
1228	0	368	368
1229	0	382	382
1230	0	387	387
1231	0	395	395
1232	0	386	386
1233	0	379	379
1234	0	376	376
1235	0	392	392
1236	0	404	404
1237	0	417	417
1238	0	395	395
1239	0	363	363
1240	0	404	404
1241	0	419	419
1242	0	395	395
1243	0	447	447
1244	0	468	468
1245	0	411	411
1246	0	388	388
1247	0	361	361
1248	0	350	350
1249	0	382	382
1250	0	370	370
1251	0	398	398
1252	0	321	321
1253	0	367	367
1254	0	412	412
1255	0	374	374
1256	0	388	388
1257	0	356	356
1258	0	357	357
1259	0	397	397
1260	0	366	366
1261	0	374	374
1262	0	365	365
1263	0	359	359
1264	0	391	391
1265	0	352	352
1266	0	399	399
1267	0	337	337
1268	0	372	372
1269	0	327	327
1270	0	401	401
1271	0	374	374
1272	0	349	349
1273	0	388	388
1274	0	373	373
1275	0	375	375
1276	0	349	349
1277	0	372	372
1278	0	349	349
1279	0	360	360
1280	0	374	374
1281	0	370	370
1282	0	365	365
1283	0	380	380
1284	0	365	365
1285	0	341	341
1286	0	374	374
1287	0	348	348
1288	0	382	382
1289	0	347	347
1290	0	383	383
1291	0	308	308
1292	0	374	374
1293	0	364	364
1294	0	385	385
1295	0	320	320
1296	0	337	337
1297	0	344	344
1298	0	362	362
1299	0	370	370
1300	0	332	332
1301	0	336	336
1302	0	292	292
1303	0	333	333
1304	0	350	350
1305	0	374	374
1306	0	343	343
1307	0	346	346
1308	0	371	371
1309	0	331	331
1310	0	329	329
1311	0	337	337
1312	0	332	332
1313	0	363	363
1314	0	344	344
1315	0	346	346
1316	0	345	345
1317	0	336	336
1318	0	336	336
1319	0	363	363
1320	0	336	336
1321	0	336	336
1322	0	362	362
1323	0	349	349
1324	0	311	311
1325	0	406	406
1326	0	384	384
1327	0	356	356
1328	0	358	358
1329	0	337	337
1330	0	335	335
1331	0	298	298
1332	0	356	356
1333	0	346	346
1334	0	360	360
1335	0	346	346
1336	0	351	351
1337	0	313	313
1338	0	318	318
1339	0	335	335
1340	0	359	359
1341	0	313	313
1342	0	329	329
1343	0	339	339
1344	0	335	335
1345	0	365	365
1346	0	359	359
1347	0	344	344
1348	0	326	326
1349	0	334	334
1350	0	309	309
1351	0	301	301
1352	0	304	304
1353	0	330	330
1354	0	342	342
1355	0	311	311
1356	0	338	338
1357	0	340	340
1358	0	328	328
1359	0	298	298
1360	0	342	342
1361	0	337	337
1362	0	318	318
1363	0	340	340
1364	0	345	345
1365	0	365	365
1366	0	336	336
1367	0	340	340
1368	0	319	319
1369	0	354	354
1370	0	352	352
1371	0	345	345
1372	0	341	341
1373	0	313	313
1374	0	311	311
1375	0	320	320
1376	0	300	300
1377	0	358	358
1378	0	320	320
1379	0	310	310
1380	0	322	322
1381	0	303	303
1382	0	302	302
1383	0	366	366
1384	0	323	323
1385	0	318	318
1386	0	334	334
1387	0	339	339
1388	0	317	317
1389	0	357	357
1390	0	348	348
1391	0	353	353
1392	0	322	322
1393	0	342	342
1394	0	321	321
1395	0	330	330
1396	0	283	283
1397	0	341	341
1398	0	347	347
1399	0	296	296
1400	0	287	287
1401	0	337	337
1402	0	303	303
1403	0	334	334
1404	0	356	356
1405	0	616	616
1406	0	322	322
1407	0	258	258
1408	0	314	314
1409	0	356	356
1410	0	308	308
1411	0	277	277
1412	0	285	285
1413	0	318	318
1414	0	312	312
1415	0	296	296
1416	0	299	299
1417	0	352	352
1418	0	325	325
1419	0	323	323
1420	0	284	284
1421	0	310	310
1422	0	308	308
1423	0	313	313
1424	0	305	305
1425	0	321	321
1426	0	303	303
